,No.,分類（大項目）,分類（中項目）,分類（小項目）,優先度,"基礎項目調査書
調査対象",施策名,施策概要
,1,LLMO共通原則,コンテンツ戦略,E-E-A-Tの徹底,-,対象外,E-E-A-Tに基づくコンテンツ制作と情報開示,"実際の経験、専門知識、権威性、信頼性を具体的に示す情報をコンテンツ及びサイト全体で明示する。著者情報（経歴、資格、実績）、監修者情報、運営者情報（企業情報、連絡先）を充実させ、一次情報（独自調査、事例、体験談）を積極的に盛り込む。
特に,geminiは重視。"
,2,LLMO共通原則,コンテンツ戦略,E-E-A-Tの徹底,中,調査対象,著者・監修者情報の構造化データ連携,"著者の専門性や経験、運営組織の信頼性を示す情報を詳細かつ透明に開示する。
著者情報や監修者情報をPersonスキーマ等でマークアップし、ウェブサイトや記事の信頼性をAIに対して技術的にも明示する。"
,3,LLMO共通原則,コンテンツ戦略,E-E-A-Tの徹底,中,調査対象,ファクトベースのコンテンツ作成と引用元明記,"信頼性の高い情報源（公的機関の発表、学術論文、権威ある調査レポート、専門家の見解など）を基にコンテンツを作成し、必ず引用元・参考文献を明記する。統計データや調査結果を用いる際は、その出典と調査時期も示す。
特に、perplexityは重視。"
,4,LLMO共通原則,コンテンツ戦略,E-E-A-Tの徹底,低,調査対象,一次情報・独自コンテンツの生成と公開,自社独自の調査結果、アンケートデータ、詳細な事例研究、専門家へのインタビューなど、他では得られないオリジナルの一次情報を積極的に生成し、公開する。
,5,LLMO共通原則,コンテンツ戦略,明確性と簡潔性,中,調査対象,AIが解釈しやすい明確・簡潔なライティング,一文を短く（例：25-35ワード目安）、専門用語を避けるか平易な言葉で解説する。結論を先に述べ、理由や具体例を続ける構成（PREP法など）を意識する。
,6,LLMO共通原則,コンテンツ戦略,明確性と簡潔性,-,対象外,定義文の明確化,「〇〇とは△△である」といった形式で、専門用語や概念を明確かつ簡潔に定義する。
,7,LLMO共通原則,コンテンツ戦略,構造化と論理構成,高,調査対象,見出しタグ（H1-H6）による階層構造の明確化,"H1タグはページ主題に1つだけ使用し、H2, H3以下の見出しタグを適切に使用して情報の論理的な階層構造を明確にする。"
,8,LLMO共通原則,コンテンツ戦略,構造化と論理構成,中,調査対象,タグの活用（箇条書き・表・リストなど）,情報を整理し、視覚的に分かりやすく提示するために、箇条書き、表、番号付きリストなどを積極的に活用する。
,9,LLMO共通原則,コンテンツ戦略,構造化と論理構成,-,対象外,1ページ1トピックの原則,1つのページに複数の異なるトピックを混在させるのではなく、1つの主要なトピックに焦点を当てて深く掘り下げる。
,10,LLMO共通原則,コンテンツ戦略,構造化と論理構成,-,対象外,段落構成の最適化,各段落が一つの明確なアイデアや主張を持つように構成する。情報のまとまりごとに段落を分ける。
,11,LLMO共通原則,コンテンツ戦略,Q&A形式・会話形式,中,調査対象,FAQページ・Q&Aセクションの設置と最適化,ユーザーが検索しそうな具体的な質問とそれに対する明確な回答を組み合わせたFAQページや、記事内のQ&Aセクションを設ける。
,12,LLMO共通原則,コンテンツ戦略,Q&A形式・会話形式,-,対象外,自然言語による質問文を意識したコンテンツ作成,ユーザーがAIに投げかける自然な質問文を想定し、それに対する直接的な回答を提供する形でコンテンツを設計する。
,13,LLMO共通原則,コンテンツ戦略,エンティティの明確化と関連付け,-,対象外,エンティティベースのコンテンツ設計と最適化,コンテンツ内で言及する主要なエンティティ（人、場所、物事、概念など）を明確に定義し、それらのエンティティ間の関連性や文脈を示す情報を盛り込む。
,14,LLMO共通原則,コンテンツ戦略,エンティティの明確化と関連付け,低,調査対象,NAP情報の一貫性担保,企業や店舗の名称（Name）、住所（Address）、電話番号（Phone Number）といったNAP情報は、ウェブサイト内外で表記を統一する。
,15,LLMO共通原則,コンテンツ戦略,マルチモーダルコンテンツ,中,調査対象,画像コンテンツの最適化（alt属性、ファイル名、キャプション）,画像には、その内容を的確に説明するalt属性を設定し、関連キーワードを含む分かりやすいファイル名を使用する。必要に応じて、画像の内容を補足するキャプションを付与する。
,16,LLMO共通原則,コンテンツ戦略,マルチモーダルコンテンツ,-,対象外,動画コンテンツの最適化（タイトル、説明文、字幕、トランスクリプト）,動画には、内容を正確に反映した魅力的なタイトルと、キーワードを含む詳細な説明文を付与する。可能であれば、字幕やトランスクリプトを提供し、AIが動画内容をテキスト情報として理解できるようにする。
,17,LLMO共通原則,コンテンツ戦略,最新性と情報更新の頻度,中,調査対象,コンテンツの定期的な更新と鮮度維持,公開済みコンテンツを定期的に見直し、最新情報に基づいて内容を更新する。更新日時を明記し、AIとユーザー双方に情報の鮮度を伝える。特にcopilotは重視。
,18,LLMO共通原則,技術的最適化,構造化データ,高,調査対象,Schema.orgを活用した構造化データの実装,"FAQPage, HowTo, Article, Product, Organization, Personなどのスキーマタイプを適切に実装し、コンテンツの情報をAIに明確に伝える。"
,19,LLMO共通原則,技術的最適化,llms.txt / robots.txt,高,調査対象,llms.txtファイルの設置と管理,AIクローラーに対して、サイトの主要コンテンツや参照してほしい情報をMarkdown形式で提供する。
,20,LLMO共通原則,技術的最適化,llms.txt / robots.txt,高,調査対象,robots.txtによるAIクローラー制御の確認,"意図しないAIクローラーのブロックを避け、必要な情報へのアクセスを許可する。
（例）OpenAIのクローラーOAI-SearchBot、PerplexityBot
一方で、学習データとしての利用を制限したい場合は明示的にDisallowする。"
,21,LLMO共通原則,技術的最適化,セマンティックHTML,-,対象外,HTML5のセマンティック要素の適切な使用,"<article>, <section>, <aside>, <nav>などのHTML5要素を適切に使用し、ウェブページのコンテンツの構造と意味をAIに伝える。"
,22,LLMO共通原則,技術的最適化,サイトスピードとモバイルフレンドリー,中,調査対象,ページ表示速度の最適化,画像圧縮、ブラウザキャッシュの有効化、不要なJavaScriptの削減などを行い、ページの読み込み速度（Core Web Vitals）を向上させる。AIクローラーはタイムアウトが短い場合がある。
,23,LLMO共通原則,技術的最適化,サイトスピードとモバイルフレンドリー,-,対象外,AIエージェントレスポンスデザインの実装,"ウェブサイトがリクエスト元の「エージェント」（人間向けのブラウザ、検索クローラー、AIクローラーなど）を識別し、それぞれに最適化されたコンテンツを配信。
画面サイズに応答する従来のレスポンシブデザインから一歩進み、AIエージェントに対して、情報を解釈しやすい軽量でクリーンなバージョンのコンテンツを提供。"
,24,LLMO共通原則,技術的最適化,クローラビリティとインデクサビリティ,高,調査対象,XMLサイトマップの送信と管理,最新のXMLサイトマップを検索エンジン（Bing Webmaster Tools等含む）に送信し、AIがサイト構造を把握しやすくする。
,25,LLMO共通原則,技術的最適化,クローラビリティとインデクサビリティ,低,調査対象,内部リンク構造の最適化,関連性の高いページ同士を内部リンクで結びつけ、AIがコンテンツの文脈を理解しやすくする。
,26,LLMO共通原則,権威性・信頼性構築,被リンクとサイテーション,低,調査対象,権威あるサイトからの被リンク獲得,関連性の高い、信頼できるウェブサイトからの自然な被リンクを獲得する。
,27,LLMO共通原則,権威性・信頼性構築,被リンクとサイテーション,低,調査対象,サイテーション（言及）の増加,業界メディアや専門家の記事などで、自社ブランドやコンテンツが言及される機会を増やす。
,28,LLMO共通原則,権威性・信頼性構築,ブランドメンションと評判管理,-,対象外,オンライン上でのブランド言及の促進,ニュース記事、ブログ、レビューサイトなどで自社ブランドが肯定的に言及されるよう努め、言及状況を監視する。
,29,LLMO共通原則,権威性・信頼性構築,ブランドメンションと評判管理,中,調査対象,肯定的なレビューの獲得と管理,ユーザーにレビュー投稿を促し、肯定的なレビューを増やす。ネガティブなレビューには誠実に対応する。
,30,LLMO共通原則,権威性・信頼性構築,マルチプラットフォームでの情報発信,低,調査対象,SNSや業界フォーラムでの積極的な情報発信,X（旧Twitter）、LinkedIn、Reddit、Quoraなどのプラットフォームで専門知識や有益な情報を発信し、コミュニティでの評価を高める。
,31,LLMO共通原則,権威性・信頼性構築,マルチプラットフォームでの情報発信,-,対象外,Wikipediaや業界データベースへの情報登録,Wikipediaや業界の権威あるデータベースに正確な情報を登録し、ブランドの認知度と信頼性を向上させる。
,32,ChatGPT/Copilot特化,コンテンツ戦略,Bing SEO連携,-,対象外,Bing検索での上位表示,ChatGPT/CopilotはBingの検索結果を重視するため、BingでのSEO対策を強化する。
,33,ChatGPT/Copilot特化,コンテンツ戦略,会話形式,-,対象外,会話形式を意識したコンテンツ,自然な会話の流れを意識し、フォローアップの質問を予測したコンテンツ構成にする。
,34,ChatGPT/Copilot特化,E-E-A-T強化,権威性・信頼性,-,対象外,Bingが評価する信頼性の構築,Bingのアルゴリズムが重視する信頼性（評判、言説レベル、透明性）を高めるコンテンツ作りを意識する。
,35,ChatGPT/Copilot特化,E-E-A-T強化,ソーシャルシグナル,-,対象外,LinkedIn等での活動,Bingはソーシャルシグナル（特にLinkedIn）を考慮する可能性があるため、関連プラットフォームでの積極的な情報発信を行う。
,36,Gemini特化,コンテンツ戦略,Knowクエリへの直接的回答,-,対象外,情報提供型クエリへの最適化,「〇〇とは何か？」といったKnowクエリに対し、明確かつ簡潔な回答をコンテンツ冒頭やFAQで提供する。
,37,Gemini特化,コンテンツ戦略,包括的なトピックカバレッジ,-,対象外,トピッククラスターと網羅性の確保,関連トピックを網羅的にカバーし、ユーザーの検索ジャーニー全体をサポートするコンテンツ群（トピッククラスター）を構築する。
,38,Gemini特化,コンテンツ戦略,マルチモーダルコンテンツの活用,中,調査対象,画像・動画コンテンツの戦略的活用,高品質な画像、図解、YouTube動画などを活用し、altテキストや説明文を最適化する。特にハウツー系では動画が引用されやすい。
,39,Gemini特化,技術的最適化,構造化データ（Google向け）,-,対象外,Google推奨の構造化データ実装,"FAQPage, HowTo, Article, Recipe, Product, LocalBusinessなど、Googleがサポートする関連性の高いスキーマを正確に実装する。"
,40,Gemini特化,技術的最適化,クロール・インデックス最適化,-,対象外,Google Search Consoleの活用とサイト構造最適化,Google Search Consoleでサイトの状態を監視し、クロール・インデックスされやすいサイト構造、内部リンク、robots.txt、XMLサイトマップを整備する。
,41,Gemini特化,E-E-A-T強化,YMYL領域の特に厳格な対応,-,対象外,YMYLトピックにおけるE-E-A-Tの徹底,金融、健康、法律などYMYL領域のコンテンツは、特にE-E-A-Tの各要素を最高レベルで満たす必要がある。
,42,Perplexity AI特化,コンテンツ戦略,権威あるリスト記事への掲載,中,調査対象,権威あるリスト記事への掲載戦略,Perplexityは推奨情報作成時に権威あるリスト記事やディレクトリを優先するため、これらに掲載されるよう働きかけるか、自社で質の高いリスト記事を作成する。
,43,Perplexity AI特化,コンテンツ戦略,Focus機能対応,-,対象外,特定ドメイン特化コンテンツの強化,PerplexityのFocus機能（学術、YouTubeなど特定ドメインに絞る機能）を意識し、該当ドメインでの権威性を高める。
,44,Perplexity AI特化,E-E-A-T強化,Googleでの権威性,-,対象外,Googleにおけるドメインオーソリティ向上,Perplexityのランキング要因の一つとしてGoogleドメインオーソリティが挙げられているため、間接的にGoogleでの評価を高める施策も有効。
,45,Perplexity AI特化,E-E-A-T強化,オンラインレビューと評判,-,対象外,肯定的なオンラインレビューの獲得,"G2, Capterra, TrustPilotなどのレビューサイトでの肯定的な評価は、Perplexityの信頼性評価に繋がる可能性がある。"
,46,You.com特化,E-E-A-T強化,信頼シグナルの構築,-,対象外,Google評価基準に準じた信頼性構築,Googleの品質評価ガイドラインに沿った信頼性の高いコンテンツは、You.comでも評価される可能性がある。
,47,Brave Search特化,コンテンツ戦略,ディスカッション価値の高いコンテンツ,-,対象外,コミュニティで議論を呼ぶコンテンツ作成,RedditやStackExchangeなどで活発に議論されるような、示唆に富む、あるいは明確な問題解決を提供するコンテンツを作成する。
,48,Brave Search特化,E-E-A-T強化,プライバシー意識の高いユーザー向け信頼性,-,対象外,プライバシーと透明性を重視した情報提供,プライバシーを重視するユーザー層に対し、透明性の高い情報開示や信頼できる情報源の提示を心がける。
,49,Phind特化,コンテンツ戦略,開発者向け技術情報,-,対象外,正確で最新の技術情報・コード例の提供,プログラミング言語、フレームワーク、API、デバッグ方法などに関する詳細な解説や具体的なコード例を含む、開発者にとって価値の高いコンテンツを作成・公開する。
,50,Phind特化,コンテンツ戦略,主要開発者プラットフォームでの活動,-,対象外,Stack Overflow、GitHub等での情報発信,Phindが参照するStack OverflowやGitHubなどで質の高い情報発信を行い、自社コンテンツが参照されるように努める。
