カテゴリー	サブカテゴリー	インサイト・悩み	備考
事業継続・売上への影響	機会損失	案件の話が来たが、人手が足りず断らざるを得なかった。売上換算すると〇〇円の損失	
事業継続・売上への影響	機会損失	大型の受注機会があったが、若手が足りず体制を組めず断念	
事業継続・売上への影響	顧客離れ・信頼失墜	繁忙期に若手がいないため、既存顧客への納期遅延が発生。結果、競合に発注を切り替えられた	
事業継続・売上への影響	顧客離れ・信頼失墜	人手不足で品質管理に手が回らず、返品・補償コストが増加	
事業継続・売上への影響	事業継続の危機	今の売上すら維持できず、このままでは赤字に転落する	
事業継続・売上への影響	事業継続の危機	若手の後継者がおらず、このままでは製造ラインが停止・事業が継続できなくなる	
事業継続・売上への影響	事業継続の危機	現場を動かす人がいない。このままでは現場が止まる	
事業継続・売上への影響	悪循環	従業員のボーナスを削減せざるを得ず、離職者が増える悪循環	
事業継続・売上への影響	機会損失	機会損失の痛み：需要（仕事）はあるのに供給（人）がないことへの経営者としての悔しさ・苛立ち	
事業継続・売上への影響	社会的信用の失墜	社会的信用の失墜リスク：高齢化が単なる内部事情ではなく、取引継続に関わるビジネスリスクになった瞬間	
生産能力・効率性低下	昼夜交代制	高齢社員の体調不良が増え、夜勤の穴埋めができない	
生産能力・効率性低下	昼夜交代制	昼夜交代制が維持できない	
生産能力・効率性低下	作業効率低下	高齢職人ばかりで作業スピードが落ちており、各方面に支障が出ている（受注数、既存顧客からの信頼、追加コスト）	
リスク管理・安定性	急な欠勤・退職	急な欠勤・退職で生産ラインが止まる	
リスク管理・安定性	属人化のリスク	ブラックボックス化の恐怖：特定の個人に依存していた技術やノウハウが、継承されずに消えることへのパニック	
リスク管理・安定性	存続への不安	存続への実存的不安：今のメンバーがいなくなった瞬間、会社という機能が停止することへの恐怖	
技術継承・専門職	技術継承のタイムリミット	資格取得に時間がかかる専門職（溶接工は3年、機械工は5年）の採用ができず、技術継承のタイムリミットが迫っている	
技術継承・専門職	技術継承のタイムリミット	経験値と肉体の乖離：技術があっても「肉体」がついてこなければ現場仕事は成立しないという現実への直面	
定着率・採用コスト	定着率の低さ	採用してもすぐに辞められる。定着率が低く、採用コストが無駄になっている	
定着率・採用コスト	定着率の低さ	若手が定着せず、採用活動を繰り返さなければならない	
採用・人材確保の課題	既存手法の限界	若手人材を確保するために、既存手法以外の選択肢を見つけたい	
採用・人材確保の課題	既存手法の限界	ハローワークしかしらない	
採用・人材確保の課題	既存手法の限界	ハローワーク以外で採用したことがない	
採用・人材確保の課題	既存手法の限界	紙の求人票だけでなんとかなると思っている	
採用・人材確保の課題	既存手法の限界	昔は採れた、という成功体験から抜けられない	
採用・人材確保の課題	待ちの限界・徒労感	「待ちの限界・徒労感」紙を送るだけの「バラマキ」では通用しないと薄々気づいているが、それ以外のアプローチ方法を知らない	
採用・人材確保の課題	表現規制への不満	「表現規制への不満」写真も動画も使えないハローワーク形式の求人票では、3Kイメージを払拭できず、戦う前から負けている感覚	
採用・人材確保の課題	市場枯渇への諦め	「市場枯渇への諦め」若者がいないのではなく、自分たちの業界・市場にはそもそも若者が存在しないと思い込んでいる	
採用・人材確保の課題	構造的な限界	「構造的な限界」「人は欲しいが、今の売上を作る現場仕事の方が優先」というジレンマからの脱却不能	
採用・人材確保の課題	自社魅力の言語化不全	「自社魅力の言語化不全」自社の魅力は「人間関係」や「雰囲気」などの抽象的なものしかなく、武器がないと感じている	
採用・人材確保の課題	若手の視界に入っていない	高校生がどうやって会社を探しているか分からない	
採用・人材確保の課題	若手の視界に入っていない	そもそもスマホ中心で動いていることすら把握していない	
採用・人材確保の課題	若手の視界に入っていない	若手の視界に自社が入っていないことに気づいていない	
採用・人材確保の課題	若手の視界に入っていない	Webで会社を検索されていることに気づいていない	
採用・人材確保の課題	若手の視界に入っていない	若者が紙求人をほぼ見ていないことを知らない	
採用・人材確保の課題	若手の視界に入っていない	動画での情報収集が中心であることを知らない	
採用・人材確保の課題	若手の視界に入っていない	会社のSNSが放置されている	
採用・人材確保の課題	若手の視界に入っていない	若手向けに魅力が見える形で発信できていない	
心理的な葛藤・不安	変化への不安	従来のやり方（ハローワーク）から新しい方法に変えることへの不安がある	
心理的な葛藤・不安	変化への不安	「変える」こと自体が負担	
心理的な葛藤・不安	変化への不安	新しいことを始める余力がない	
心理的な葛藤・不安	門前払いの劣等感	「門前払いの劣等感」大手や実績のある企業との扱いの差を肌で感じ、「新参者の中小企業には入り込む隙がない」と萎縮している	
心理的な葛藤・不安	既得権益への嫉妬	「既得権益への嫉妬」長年の付き合いがある他社で枠が埋まっており、新規参入のハードルが高すぎて心が折れかけている	
心理的な葛藤・不安	当て馬にされる惨めさ	「当て馬にされる惨めさ」見学までは来るが、結局は本命（大手）を受けるための「練習台」や「滑り止め」にされているという疑心暗鬼	
心理的な葛藤・不安	進路指導への不信感	「進路指導への不信感」生徒本人の適性よりも「就職率」や「無難さ」を優先する先生に対し、自社の良さを遮断されていると感じる	
心理的な葛藤・不安	世代間コミュニケーション不全	「世代間コミュニケーション不全」ガチガチに緊張して練習通りの回答しかしない高校生に対し、本音を引き出す術を持たず消化不良	
心理的な葛藤・不安	条件劣等感	「条件劣等感」仕事の価値や社風などのソフト面では勝負できず、「金とブランド」が全てだという敗北感	
心理的な葛藤・不安	学歴への偏見・ミスマッチ	「学歴への偏見・ミスマッチ」「大卒＝頭でっかちで使えない」というステレオタイプと、現場職人のプライドとの板挟み	
心理的な葛藤・不安	傷物への警戒心	「傷物への警戒心」他社で通用しなかった人材の受け皿（リサイクル）にされることへのプライドの抵抗	
心理的な葛藤・不安	未知への心理的障壁	「未知への心理的障壁」実は難しくないかもしれないが、「学校」という閉鎖的な聖域に対する苦手意識	
心理的な葛藤・不安	相対的地位の低下（嫉妬）	「相対的地位の低下（嫉妬）」隣の芝生が青く見える現象。「あそこで採れるならウチでも採れるはず」という対抗心	
心理的な葛藤・不安	組織の老化への危機感	「組織の老化への危機感」安定しているが「死」に向かっているような静けさを嫌い、異分子（若者）による化学反応を求めている	
デジタル・採用ツールへの不安・無知	デジタルへの苦手意識	デジタルが苦手（採用する人が高齢化）	
デジタル・採用ツールへの不安・無知	デジタルへの苦手意識	デジタルデバイドの壁：新しいツールへのアレルギー反応は、能力ではなく「年齢」の問題だと気づいている	
デジタル・採用ツールへの不安・無知	何から始めればいいかわからない	広告？SNS？何から始めればいいかわからない	
