JOB ID,企業名,フェーズ（シード、アーリー、ミドル、レイター、上場）,求人票URL,データ登録日,ポジション,【簡易】職種,年収下限 [万円],年収上限 [万円],応募必須要件補足,応募歓迎要件補足,求める人物像,応募条件補足タグ,ワークスタイル（リモートワーク採用状況）,プロダクト属性（カテゴリー）,ここがお勧め！
28052,株式会社Translead,アーリー～ミドル,https://next.mar-cari.jp/job-descriptions/400a05327b9fcb61c9f370d62286ecd7,2026/09/07 18:42:24,【インドネシア】グローバルカスタマーサクセス,カスタマーサクセス,420,850,"・ビジネスレベル以上のインドネシア語/日本語能力
・ITツールを利用した顧客折衝・課題解決の実務経験
・基本的なPCスキル（Office365 等）","【歓迎スキル】
・SaaS企業での顧客折衝のご経験
・データ活用による改善・推進経験","・データをもとに課題を整理し、部門横断で顧客価値向上を推進できる方
・顧客起点で提案・改善を主体的に行える方
・IS?FS?CSまで一気通貫した営業プロセスを理解している方
・変化の大きい環境（IPO・新規事業等）に柔軟に対応できる方",,4.フル出社,セールス/マーケティング領域特化,"・ITトレンド年間ランキング2025 CRM（顧客管理システム）総合ランキング3位、急上昇ランキング2位、企業規模別（大規模・中規模）ランキング3位を獲得！

「企業の変革をリードする」をミッションに掲げ、営業現場の課題解決に特化したCRM/SFAツール「Translead CRM」を提供している企業である。

現場の声を反映した直感的なUIと、ノーコードで柔軟なカスタマイズが可能な点が特徴である。これにより、顧客情報や営業活動の一元管理、効率的な情報共有を実現し、営業組織の生産性向上と業績拡大を支援する。
また、AIによる名刺データの自動登録やスマートフォン対応など、営業現場のDXを強力に推進する機能を備えている。国内外の展示会への積極的な出展を通じて、グローバル展開も加速している企業である。"
28051,株式会社Translead,アーリー～ミドル,https://next.mar-cari.jp/job-descriptions/332cbe41deda745433907649c5830271,2026/09/07 18:39:48,【タイ】グローバルカスタマーサクセス,カスタマーサクセス,420,850,"・ビジネスレベル以上のタイ語/日本語能力
・ITツールを利用した顧客折衝・課題解決の実務経験
・基本的なPCスキル（Office365 等）","・SaaS企業での顧客折衝のご経験
・データ活用による改善・推進経験","・データをもとに課題を整理し、部門横断で顧客価値向上を推進できる方
・顧客起点で提案・改善を主体的に行える方
・IS?FS?CSまで一気通貫した営業プロセスを理解している方
・変化の大きい環境（IPO・新規事業等）に柔軟に対応できる方",,4.フル出社,セールス/マーケティング領域特化,"・ITトレンド年間ランキング2025 CRM（顧客管理システム）総合ランキング3位、急上昇ランキング2位、企業規模別（大規模・中規模）ランキング3位を獲得！

「企業の変革をリードする」をミッションに掲げ、営業現場の課題解決に特化したCRM/SFAツール「Translead CRM」を提供している企業である。

現場の声を反映した直感的なUIと、ノーコードで柔軟なカスタマイズが可能な点が特徴である。これにより、顧客情報や営業活動の一元管理、効率的な情報共有を実現し、営業組織の生産性向上と業績拡大を支援する。
また、AIによる名刺データの自動登録やスマートフォン対応など、営業現場のDXを強力に推進する機能を備えている。国内外の展示会への積極的な出展を通じて、グローバル展開も加速している企業である。"
18160,株式会社アンドパッド,ミドル～レイター,https://next.mar-cari.jp/job-descriptions/1b09fb4fdd9ac7b21c2ffff3990826fe,2024/09/04 15:25:35,カスタマーサクセス,カスタマーサクセス,400,800,"下記いずれかの経験がある方
・業界・ジャンル・営業手法問わず法人営業のご経験（2年以上）
・カスタマーサクセス経験者（2年以上）","・顧客の業務を構造的に分解し、課題解決提案をされてきたご経験
・IT業界での営業/コンサル経験（BtoB SaaSの営業、ITコンサルタント、パッケージ導入担当等）
・ITを活用した業務改善企画・推進経験
・ストック型ビジネスのような連続性・継続性のある商材を扱ってきたご経験 （例：SaaSプロダクトの営業、SEOコンサル・Web広告運用、採用支援ツールの営業等）
・チームマネジメント経験
・スタートアップ/ベンチャーでの就業経験","・自身の業務範囲を特定せず、グロースマインドセットで積極的に挑戦できる方
・常に顧客やユーザー起点で思考し、推進できる方
・未知の領域に対して興味関心を持ち、能動的な活動によって機会創出ができる方
・高い当事者意識を持って仕事に取り組むことができる方
・GRIT（やり抜く力）が高く、成果を追求することができる方
・誠実に物事に向き合い、素直に学習・吸収できる方
・SaaSプロダクトの考え方を理解されている方",,3.リモート有（リモート＜出社）,"業界特化（横断検索）,Vertical（建設）","・8年連続 導入企業数No.1！（建設業マネジメントクラウドサービス市場）
・累計資金調達額 200億円超！
SaaS事業のさらなる成長や新規事業開発に積極的な投資を行っている。
・国土交通省NETIS（新技術情報提供システム）に「推奨技術」として選定

「幸せを築く人を、幸せに。」をミッションに掲げ、建設業界のDXを推進する企業である。このサービスは、現場の効率化から経営改善までを一元管理できる多機能性が魅力であり、直感的な使いやすさと徹底した導入・活用サポートにより、ITリテラシーの高くないユーザーでも安心して利用できる点が強みである。建設業界の慢性的な人手不足や長時間労働といった課題に対し、テクノロジーの力で解決策を提供し、業界全体の働き方改革に貢献している。"
28050,株式会社クーリエ,ミドル～レイター,https://next.mar-cari.jp/job-descriptions/ae693f776ff0fd15af9883f31410b992,2026/09/07 18:16:21,2512【Business Implementation||Strategy & Planning||ドメインエキスパート（医療介護）】 ドメインエキスパート（医療介護）,事業企画,500,1300,"■ケアマネージャーとしての実務経験
■介護事業会社でエリアマネージャー等、複数の介護事業所のマネジメント経験
■介護事業所の経営もしくは経営指導の経験
■新規事業やプロジェクトの立上げ経験
■テクノロジーを活用した介護サービスの開発や運用経験
■介護業界におけるデータ分析や業務改善の経験
■介護関連の法改正や制度変更に関する情報収集と対応経験","■新規事業（特にSaaSビジネス）を0→1で立ち上げたご経験 
■介護・医療業界の制度・法規（介護保険、診療報酬など）に関する深い知識 
■行政（都道府県、市区町村など）との折衝や補助金申請などのご経験 
■戦略コンサルティングファームやシンクタンクでのご経験 
■データ分析（SQL、BIツールなど）に基づいた事業改善や意思決定のご経験 
■介護事業所の経営、または経営指導のご経験",,,4.フル出社,"業界特化（横断検索）,HR-Tech（採用関連）,Vertical（医療/介護）","・「みんなの介護」老人ホームの掲載数で8年連続業界No.1！
・月間1,200万PV業界トップシェア誇るメディア！
・超高齢社会という社会課題の解決に挑むヘルスケアテック企業！

「テクノロジーによって新しい価値を創造し、一人ひとりのより良い未来をつくる」をミッションに掲げ、介護・福祉領域におけるデジタルプラットフォーム事業を展開する企業である。

主力サービスである老人ホーム検索サイト「みんなの介護」は、老人ホーム掲載数8年連続業界No.1を誇り、月間1,200万PVを超える国内有数の介護メディアへと成長。介護施設を探す利用者と施設運営者をつなぐことで、介護市場における情報の非対称性解消に貢献している。

また、介護・医療・シニア領域において新規事業やサービス開発にも積極的に取り組んでおり、超高齢社会が抱える課題解決にテクノロジーの力で挑戦している。データドリブンな意思決定や現場主導のカルチャーが根付いており、社員一人ひとりが裁量を持ちながら成長できる環境も魅力である。

今後も市場拡大が見込まれる介護・ヘルスケア領域で社会的意義の高い事業に携わりたい方、成長企業で早期にリーダー・マネジメントポジションを目指したい方におすすめの企業である。"
16491,キャディ株式会社,ミドル～レイター,https://next.mar-cari.jp/job-descriptions/104ce990659be9a5977a8a8a3dd8bdca,2024/04/03 17:25:11,Enterprise Account Executive｜Manager（関東・関西・中部）,フィールドセールス,1000,1600,"法人向けソリューション営業における卓越した実績
顧客の潜在課題を特定し、ゼロベースで解決策を提示する提案型営業の経験
社内外の複数のステークホルダーを巻き込み、プロジェクトを推進した経験
営業実績において、社内上位（MVP、トップ5％以内など）の圧倒的な成果を残した経験
組織マネジメントまたは事業立ち上げの経験
プレイングマネージャーとして自ら成果を出しつつ、チームの成果最大化にコミットした経験
または、新規事業の立ち上げや組織のスクラップ＆ビルドを主導した経験","システム/ソフトウェアほか、提案型の無形商材の営業経験
顕在課題ではなく、潜在課題に対する営業経験
エンタープライズ領域での営業経験","キャディのミッションや社会課題解決への強い関心がある方
成果に強くコミットし、不確実性の高い環境そのものを楽しめる方
素早く行動・検証を繰り返し、変化に柔軟に対応できるフットワークがある方
評論家にならず、自ら現場に飛び込んだ泥臭い実行が可能な方
過去の慣習にとらわれず、あるべき姿から逆算し勝ち筋を仮説構築できる方
自身の成功体験をアンラーニングできる柔軟性を持ち、新しい環境に適応できる方",,2.リモート主体（出社＜リモート）,"業界特化（横断検索）,Vertical（製造）","・累計エクイティ調達額257.3億円を誇る製造業DXスタートアップ！
・国内製造メーカー売上トップ20社のうち75％との取引実績あり！
・日本・アメリカ・ベトナム・タイの4カ国で事業を展開するグローバル企業！

「モノづくり産業のポテンシャルを解放する」をミッションに掲げ、製造業のDXを推進するスタートアップ企業である。

主力プロダクトである製造業AIデータプラットフォーム「CADDi」は、図面や調達情報、製造ノウハウなど企業内に散在するデータを資産化し、エンジニアリングチェーン・サプライチェーン全体の最適化を実現。製造業における生産性向上と意思決定の高度化を支援している。

累計エクイティ調達額は257.3億円に達し、国内製造メーカー売上上位20社のうち75％との取引実績を有するなど、高い市場評価と顧客基盤を確立。現在は日本に加え、アメリカ・ベトナム・タイへ事業を展開し、グローバルでの成長を加速させている。

製造業向けAI×SaaSの提案を通じて、高度な課題解決力やコンサルティング営業力を身につけられる環境である。また、シリーズC以降の急成長フェーズにあり、事業拡大や組織づくり、マネジメントに挑戦できる機会も豊富。グローバル展開の最前線で市場価値を高めたい方、難易度の高い社会課題の解決に挑戦したい方におすすめの企業である。"
25600,キャディ株式会社,ミドル～レイター,https://next.mar-cari.jp/job-descriptions/af2f908d5f08599c5274edfa4dcbad92,2026/02/18 17:45:56,Enterprise Account Executive｜部長（関東・関西・中部）,フィールドセールス,1200,1600,"法人向けソリューション営業における卓越した実績
顧客の潜在課題を特定し、ゼロベースで解決策を提示するITソーリューションの提案型営業の経験
社内外の複数のステークホルダーを巻き込み、プロジェクトを推進した経験
営業実績において、社内上位（MVP、トップ5％以内など）の圧倒的な成果を残した経験
組織マネジメントまたは事業立ち上げの経験
プレイングマネージャーとして自ら成果を出しつつ、チームの成果最大化にコミットした経験
または、新規事業の立ち上げや組織のスクラップ＆ビルドを主導した経験","事業開発や営業組織の立ち上げ・拡大をリードし、高い成長を実現した経験（SaaS、プラットフォーム事業など）
人材・広告・メガベンチャーなどの競争の激しい環境で、トップクラスの成果を出し続け、早期抜擢されてきた経験
コンサルティングやプロジェクトマネジメントのスキルを持ち、複雑な商材や大規模組織の合意形成を取りまとめた経験（総合商社、コンサルファーム、SIerなど）","キャディのミッションや社会課題解決への強い関心がある方
成果に強くコミットし、不確実性の高い環境そのものを楽しめる方
素早く行動・検証を繰り返し、変化に柔軟に対応できるフットワークがある方
評論家にならず、自ら現場に飛び込んだ泥臭い実行が可能な方
過去の慣習にとらわれず、あるべき姿から逆算し勝ち筋を仮説構築できる方
自身の成功体験をアンラーニングできる柔軟性を持ち、新しい環境に適応できる方",,2.リモート主体（出社＜リモート）,"業界特化（横断検索）,Vertical（製造）","・累計エクイティ調達額257.3億円を誇る製造業DXスタートアップ！
・国内製造メーカー売上トップ20社のうち75％との取引実績あり！
・日本・アメリカ・ベトナム・タイの4カ国で事業を展開するグローバル企業！

「モノづくり産業のポテンシャルを解放する」をミッションに掲げ、製造業のDXを推進するスタートアップ企業である。

主力プロダクトである製造業AIデータプラットフォーム「CADDi」は、図面や調達情報、製造ノウハウなど企業内に散在するデータを資産化し、エンジニアリングチェーン・サプライチェーン全体の最適化を実現。製造業における生産性向上と意思決定の高度化を支援している。

累計エクイティ調達額は257.3億円に達し、国内製造メーカー売上上位20社のうち75％との取引実績を有するなど、高い市場評価と顧客基盤を確立。現在は日本に加え、アメリカ・ベトナム・タイへ事業を展開し、グローバルでの成長を加速させている。

製造業向けAI×SaaSの提案を通じて、高度な課題解決力やコンサルティング営業力を身につけられる環境である。また、シリーズC以降の急成長フェーズにあり、事業拡大や組織づくり、マネジメントに挑戦できる機会も豊富。グローバル展開の最前線で市場価値を高めたい方、難易度の高い社会課題の解決に挑戦したい方におすすめの企業である。"
16614,キャディ株式会社,ミドル～レイター,https://next.mar-cari.jp/job-descriptions/bf48b182102a04c87a79b37d8fdbd6eb,2024/04/17 18:19:16,顧客変革ディレクター（CX Director）,カスタマーサクセス,590,1200,"課題解決型の提案活動/プロジェクト推進（経営層または事業責任者クラスとのコミュニケーション）を主導した経験が通算3年以上あり、かつ以下いずれかのご経験をお持ちの方

戦略／業務／ITコンサルティングファームにおけるプロジェクトリード経験
SaaSやITプロダクトにおける法人向け導入・活用支援（ハイタッチ型のCSやPMM等）
BtoB領域での事業企画／BizDev／ソリューション営業など、構造課題に向き合う営業経験
製造業領域における調達・設計・生産技術・業務改革等の実務経験
スタートアップでの事業立ち上げ・オペレーション構築・顧客戦略立案の経験
在籍メンバー例：
コンサルティングファーム出身者（戦略／業務／IT）
SaaS・IT業界でのカスタマーサクセス／導入・運用担当
製造業（部品・装置メーカー）の調達／設計／生産管理経験者
商社におけるトレーディングや事業投資の経験者
スタートアップでのBizDev・事業立ち上げ・経営企画経験者

在籍メンバーnote
https://caddiinc.com/n/n43d84b8704f0
https://note.com/maki_saito4451/n/n962e715f5613
https://note.com/masahiro_yagi/n/n2a0cfdf935f2","大企業の経営層または事業責任者クラスに対し、構造課題の特定・提案を主導した経験
製造業領域における業務設計、業務改革、IT／システム導入等を通じた実務的な変革経験
製造業クライアント向けのERP／SCM等のシステム導入・業務要件定義のリード経験
製造業の設計・調達・生産・品質などの構造や現場業務に対する理解と関与経験
社内外の多様なステークホルダーと建設的に連携し、プロダクトや事業の進化に寄与できるコミュニケーションスキル","キャディのミッション・ビジョン・カルチャーに共感し、産業変革に当事者として取り組みたい方
顧客・社会の構造課題に向き合い、価値ある解決策を生み出すことに情熱を持てる方
顧客の成功や変化を自身の成果と捉え、継続的な支援と信頼構築にやりがいを感じる方
仮説構築・抽象化・構造思考といった思考プロセスに強みまたは伸ばしたい意欲がある方
素早く検証し、必要に応じて軌道修正しながら前に進める行動力を持つ方
顧客との対話を通じて真の課題を発見し、解決に向けたプロセスを着実に実行できる方
不確実性の高い状況を前向きに捉え、自ら試行錯誤を繰り返しながら成果を追求できる方
「製造業を変える」「大きな社会的インパクトを出す」ことに本気で挑戦したい方
課題に真正面から向き合い、チームで一丸となって課題解決に取り組む。そんな組織を一緒に作っていきたいという方を歓迎します。",,2.リモート主体（出社＜リモート）,"業界特化（横断検索）,Vertical（製造）","・累計エクイティ調達額257.3億円を誇る製造業DXスタートアップ！
・国内製造メーカー売上トップ20社のうち75％との取引実績あり！
・日本・アメリカ・ベトナム・タイの4カ国で事業を展開するグローバル企業！

「モノづくり産業のポテンシャルを解放する」をミッションに掲げ、製造業のDXを推進するスタートアップ企業である。

主力プロダクトである製造業AIデータプラットフォーム「CADDi」は、図面や調達情報、製造ノウハウなど企業内に散在するデータを資産化し、エンジニアリングチェーン・サプライチェーン全体の最適化を実現。製造業における生産性向上と意思決定の高度化を支援している。

累計エクイティ調達額は257.3億円に達し、国内製造メーカー売上上位20社のうち75％との取引実績を有するなど、高い市場評価と顧客基盤を確立。現在は日本に加え、アメリカ・ベトナム・タイへ事業を展開し、グローバルでの成長を加速させている。

製造業向けAI×SaaSの提案を通じて、高度な課題解決力やコンサルティング営業力を身につけられる環境である。また、シリーズC以降の急成長フェーズにあり、事業拡大や組織づくり、マネジメントに挑戦できる機会も豊富。グローバル展開の最前線で市場価値を高めたい方、難易度の高い社会課題の解決に挑戦したい方におすすめの企業である。"
28049,キャディ株式会社,ミドル～レイター,https://next.mar-cari.jp/job-descriptions/a7da155b03b7826fcd021ee59568db0a,2026/09/07 17:52:17,"Field Sales Lead, ASEAN",フィールドセールス,,,"法人営業での卓越したご経験
日本語能力 - 母国語としての言語能力もしくは日本語能力試験N1相当
英語能力- 母国語としての言語能力もしくはTOEFL iBT100/IELTS7.0相当","B2B SaaSプロダクトにおけるフィールドセールスのご経験・卓越した成果
製造業企業へのフィールドセールスのご経験・卓越した成果
総合商社、コンサルティング企業でのグローバルプロジェクト、大型アライアンスに関わったご経験
アジア市場においてゼロから事業開発・開拓をされたご経験
日本語・英語以外のビジネスレベルの言語能力(タイ語、中国語等）","当社のミッションおよびビジョンに強く共感いただける方
不確実性や難易度が高いことにワクワクできる方
やり抜く覚悟がある方",,2.リモート主体（出社＜リモート）,"業界特化（横断検索）,Vertical（製造）","・累計エクイティ調達額257.3億円を誇る製造業DXスタートアップ！
・国内製造メーカー売上トップ20社のうち75％との取引実績あり！
・日本・アメリカ・ベトナム・タイの4カ国で事業を展開するグローバル企業！

「モノづくり産業のポテンシャルを解放する」をミッションに掲げ、製造業のDXを推進するスタートアップ企業である。

主力プロダクトである製造業AIデータプラットフォーム「CADDi」は、図面や調達情報、製造ノウハウなど企業内に散在するデータを資産化し、エンジニアリングチェーン・サプライチェーン全体の最適化を実現。製造業における生産性向上と意思決定の高度化を支援している。

累計エクイティ調達額は257.3億円に達し、国内製造メーカー売上上位20社のうち75％との取引実績を有するなど、高い市場評価と顧客基盤を確立。現在は日本に加え、アメリカ・ベトナム・タイへ事業を展開し、グローバルでの成長を加速させている。

製造業向けAI×SaaSの提案を通じて、高度な課題解決力やコンサルティング営業力を身につけられる環境である。また、シリーズC以降の急成長フェーズにあり、事業拡大や組織づくり、マネジメントに挑戦できる機会も豊富。グローバル展開の最前線で市場価値を高めたい方、難易度の高い社会課題の解決に挑戦したい方におすすめの企業である。"
28048,キャディ株式会社,ミドル～レイター,https://next.mar-cari.jp/job-descriptions/e4306fa1c51ef1732e3eda79dff8767c,2026/09/07 17:46:26,"""製造業ドメインに強いなら"" Sales Engineerマネージャー",フィールドセールス,1100,1800,"以下いずれかの経験を通じて、経営視点での提案やPJ推進をリードしたご経験（通算3年以上）

IT/業務コンサルでの構想策定・PoC設計のリード経験
SIerやPMポジションでの要件定義?実装プロジェクト推進経験
RPAなどの業務設計／導入支援における構造的提案の経験
業務ツールの導入提案経験","製造業（設計・調達・SCMなど）領域における業務知見
ERPやSCM等の業務アプリ導入経験（ユーザー側・支援側問わず）
他職能との連携により導入プロセスの型化や最適化をリードした経験","顧客・社会の構造課題に向き合い、仮説構築と実行の両輪で伴走できる方
不確実な状況でも、言語化と仮説で道を切り拓ける論理性と胆力をお持ちの方
チームと共創し、再現可能な仕組みをつくることにやりがいを感じる方
産業の変革という大きなテーマに当事者として関わりたい方",,2.リモート主体（出社＜リモート）,"業界特化（横断検索）,Vertical（製造）","・累計エクイティ調達額257.3億円を誇る製造業DXスタートアップ！
・国内製造メーカー売上トップ20社のうち75％との取引実績あり！
・日本・アメリカ・ベトナム・タイの4カ国で事業を展開するグローバル企業！

「モノづくり産業のポテンシャルを解放する」をミッションに掲げ、製造業のDXを推進するスタートアップ企業である。

主力プロダクトである製造業AIデータプラットフォーム「CADDi」は、図面や調達情報、製造ノウハウなど企業内に散在するデータを資産化し、エンジニアリングチェーン・サプライチェーン全体の最適化を実現。製造業における生産性向上と意思決定の高度化を支援している。

累計エクイティ調達額は257.3億円に達し、国内製造メーカー売上上位20社のうち75％との取引実績を有するなど、高い市場評価と顧客基盤を確立。現在は日本に加え、アメリカ・ベトナム・タイへ事業を展開し、グローバルでの成長を加速させている。

製造業向けAI×SaaSの提案を通じて、高度な課題解決力やコンサルティング営業力を身につけられる環境である。また、シリーズC以降の急成長フェーズにあり、事業拡大や組織づくり、マネジメントに挑戦できる機会も豊富。グローバル展開の最前線で市場価値を高めたい方、難易度の高い社会課題の解決に挑戦したい方におすすめの企業である。"
28047,キャディ株式会社,ミドル～レイター,https://next.mar-cari.jp/job-descriptions/eab75ef35d397e9c5583a3e1281fb5ca,2026/09/07 17:34:34,シン・カスタマーサクセス | Manager/Senior Manager,カスタマーサクセス,1100,1800,"顧客が掲げる目標（経営目標・事業目標・KPI等）に対して、目標達成のために必要な変化・投資判断を顧客と一緒に動かした経験。
複数のステークホルダー（部門・役職階層・社外含む）を横断し、新規プロジェクトを企画から実行・振り返りまで責任者として推進した／複数社（パートナー企業・ベンダー等）を巻き込んだ立ち上げプロジェクトを完遂した経験。
正解や前例が用意されていない状況で、自ら課題を定義し、仮説を立てて検証しながら解決まで導いた経験。","プロダクト開発チーム・エンジニアと協業し、機能改善や新規開発を推進した経験
製造業における事業・業務変革経験
製造業における基幹システム（ERP、PLM、MES等）の提案、導入に関わった経験
若手のうちからプロジェクトやチームを牽引した経験
AI・データ・製造業に関する専門知識は必須ではありません。課題を構造化し、プロジェクトを設計・実行しきる力を最も重視しており、専門知識は後から十分にキャッチアップ可能な領域と位置付けています","キャディのミッション・ビジョンに強く共感いただける方
正解のない状況で、自ら課題を定義し仮説検証を回しきれる方
将来的な事業戦略・収支責任・チームマネジメントを担うことに意欲がある方
現場の課題から経営課題までを地続きで捉え、レイヤーを越えて動ける方
個社の成功にとどまらず、業界全体への横展開を志向できる方",,2.リモート主体（出社＜リモート）,"業界特化（横断検索）,Vertical（製造）","・累計エクイティ調達額257.3億円を誇る製造業DXスタートアップ！
・国内製造メーカー売上トップ20社のうち75％との取引実績あり！
・日本・アメリカ・ベトナム・タイの4カ国で事業を展開するグローバル企業！

「モノづくり産業のポテンシャルを解放する」をミッションに掲げ、製造業のDXを推進するスタートアップ企業である。

主力プロダクトである製造業AIデータプラットフォーム「CADDi」は、図面や調達情報、製造ノウハウなど企業内に散在するデータを資産化し、エンジニアリングチェーン・サプライチェーン全体の最適化を実現。製造業における生産性向上と意思決定の高度化を支援している。

累計エクイティ調達額は257.3億円に達し、国内製造メーカー売上上位20社のうち75％との取引実績を有するなど、高い市場評価と顧客基盤を確立。現在は日本に加え、アメリカ・ベトナム・タイへ事業を展開し、グローバルでの成長を加速させている。

製造業向けAI×SaaSの提案を通じて、高度な課題解決力やコンサルティング営業力を身につけられる環境である。また、シリーズC以降の急成長フェーズにあり、事業拡大や組織づくり、マネジメントに挑戦できる機会も豊富。グローバル展開の最前線で市場価値を高めたい方、難易度の高い社会課題の解決に挑戦したい方におすすめの企業である。"
